dia,label,ejercicio,series,repeticiones,descanso,notas
Día 1,Upper,Press Inclinado con Smith,3,8-10,90s,
Día 1,Upper,Aperturas en Polea,3,8-10,60s,
Día 1,Upper,Jalón al Pecho,3,8-10,90s,
Día 1,Upper,Remo Pendlay,3,8-12,90s,
Día 1,Upper,Elevaciones Laterales,3,12-15,60s,
Día 1,Upper,Curl Biceps,3,10-15,60s,
Día 1,Upper,Extensión de Triceps,3,10-15,60s,
Día 2,Lower,Curl Femoral,3,10-12,60s,
Día 2,Lower,Sentadilla / Prensa de Piernas,3,8-10,90s,
Día 2,Lower,Peso Muerto Rumano,3,8,90s,
Día 2,Lower,Hip Thrust,3,10,60s,
Día 2,Lower,Extensión de Cuádriceps,2,12-15,60s,
Día 2,Lower,Gemelos,3,12-15,45s,
Día 2,Lower,Curl Femoral,3,12-15,45s,
Día 3,Full Body,Press inclinado con Smith,3,8-10,90s,
Día 3,Full Body,Jalón al Pecho,3,8-10,90s,
Día 3,Full Body,Prensa de Piernas,3,8,60s,
Día 3,Full Body,Peso Muerto Rumano,2,8,90s,
Día 3,Full Body,Elevaciones Laterales,2,15,60s,
Día 3,Full Body,Curl Biceps,2,10-12,60s,
Día 3,Full Body,Extensión de Triceps,2,10-12,60s,